LOCATION_ACCOUNT,BUSINESS_NAME,DBA_NAME,STREET_ADDRESS,CITY,ZIP_CODE,LOCATION_DESCRIPTION,MAILING_ADDRESS,MAILING_CITY,MAILING_ZIP_CODE,NAICS,PRIMARY_NAICS_DESCRIPTION,COUNCIL_DISTRICT,LOCATION_START_DATE,LOCATION_END_DATE,LOCATION
0002623703-0001-6,NOEMI ESPINO,HOME DESIGN BLUEPRINTS,13437 VICTORY BLVD APT #24,VAN NUYS,91401-1860,13437 VICTORY 91401-1860,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",2,05/01/2012,,"(34.187, -118.4261)"
0002707046-0001-9,PAY DJ MUSTARD MUSIC INC,,7650 GLORIA AVENUE,VAN NUYS,91406-1805,7650 GLORIA 91406-1805,7650 GLORIA AVENUE,VAN NUYS,91406-1805,532290,Other consumer goods rental,6,03/22/2013,,"(34.2099, -118.4787)"
0002869658-0001-9,RYAN JAMES SPEERS,RYAN SPEERS PHOTOGRAPHER,6126 ROMAINE STREET UNIT #D,LOS ANGELES,90038-3995,6126 ROMAINE 90038-3995,,,,541920,Photographic services,13,11/01/2014,,"(34.0889, -118.3255)"
0002814845-0001-0,DANIEL SHURE SIMON,SIMON MEDIATION,11620 WILSHIRE BLVD SUITE #900,LOS ANGELES,90025-1706,11620 WILSHIRE 90025-1706,,,,541600,"Management, scientific, & technical consulting services",11,02/26/2015,,"(34.0501, -118.46)"
0002871972-0001-1,ARMEN MANUKYAN,,11153 SATICOY STREET,SUN VALLEY,91352-4727,11153 SATICOY 91352-4727,,,,488000,Support activities for transportation (including motor vehicle towing),2,01/01/2013,,"(34.2084, -118.3735)"
0000215911-0002-2,"AVIBANK MFG,INC",,11500 SHERMAN WAY,N HOLLYWOOD,91605-5827,11500 SHERMAN 91605-5827,11500 SHERMAN WAY,NORTH HOLLYWOOD,91605-5827,332000,Fabricated metal product mfg.,2,01/01/1999,,"(34.2011, -118.3815)"
0003293756-0001-5,BHI RESIDENTIAL LONG TERM CORPORATION,,732 S SPRING STREET APT #1021,LOS ANGELES,90014-3058,732 SPRING 90014-3058,,,,,,14,09/01/2021,,"(34.0435, -118.2527)"
0002291298-0002-7,WESTERN STATES CABINET WHOLESALERS VN INC,,12201 W PICO BLVD,LOS ANGELES,90064-1134,12201 PICO 90064-1134,360 E 1ST STREET UNIT #190,TUSTIN,92780-3211,423300,Lumber & other construction materials,11,08/17/2012,,"(34.0288, -118.4512)"
0002975579-0001-5,JILL A SCOTT,,1510 N HOOVER STREET,LOS ANGELES,90027-5522,1510 HOOVER 90027,1510 N HOOVER STREET,LOS ANGELES,90027-5522,711510,"Independent artists, writers, & performers",4,01/01/2017,,"(34.0986, -118.2838)"
0003187998-0001-2,ALEXANDRA HIRSCH,,3041 N PARK WAY,SAN DIEGO,92104-3606,3041 PARK 92104-3606,,,,,,0,03/02/2020,,"(32.7474, -117.1281)"
0002685724-0001-1,EVE 6,,25 VREELAND ROAD,FLORHAM PARK,07932-1902,25 VREELAND 07932-1902,POST OFFICE BOX #896,PINE BROOK,07058-0896,711510,"Independent artists, writers, & performers",0,01/01/2005,,
0003321887-0001-5,MICHAEL BOHLEY,,19329 DONORA AVENUE,TORRANCE,90503-1332,19329 DONORA 90503-1332,,,,812990,All other personal services,0,01/01/2018,,"(33.8545, -118.3677)"
0000001168-0001-2,THE SKID ROW HOUSING TRUST,,114 E 5TH STREET,LOS ANGELES,90013-1416,114 5TH 90013-1416,1317 E 7TH STREET,LOS ANGELES,90021-1101,561300,Employment services,9,10/01/1996,,
0002568390-0001-9,HBC PROPERTIES LLC,,20937 GORGONIA STREET,WOODLAND HILLS,91364-5512,20937 GORGONIA 91364-5512,29161 DEAN STREET,LAGUNA NIGUEL,92677-4600,531100,Lessors of real estate (including mini warehouses & self-storage units),3,05/31/2011,,"(34.148, -118.5891)"
0003327346-0001-9,EAGLE ROCK TEST ONLY SMOG STATION,,4780 Eagle Rock #A,Los Angeles,90041-2737,4780 EAGLE ROCK 90041,,,,812990,All other personal services,14,05/10/2021,,"(34.1321, 34.1321)"
0002780110-0001-9,ANA M ROSA FARELA,,2911 2ND AVENUE,LOS ANGELES,90018-2939,2911 2ND 90018-2939,,,,561720,Janitorial services,10,01/01/2013,,"(34.0288, -118.3187)"
0003322572-0001-1,PAUL SALCIDO,,4301 W KLING STREET UNIT #9,BURBANK,91505-3727,4301 KLING 91505-3727,,,,812990,All other personal services,2,01/01/2018,,
0000622764-0015-6,JWCH INSTITUTE INC,,3804 BROADWAY PLACE,LOS ANGELES,90037-1414,3804 BROADWAY 90037-1414,5650 JILLSON STREET,COMMERCE,90040-1482,812990,All other personal services,9,04/01/2014,,"(34.013, -118.2761)"
0000001192-0001-6,THE PUBLIC HEALTH FOUNDATION OF LOS ANGELES COUNTY INC,PUBLIC HEALTH FOUNDATION WIC PROGRAM,1836 W IMPERIAL HIGHWAY,LOS ANGELES,90047-5020,1836 IMPERIAL 90047-5020,12781 SCHABARUM AVENUE,IRWINDALE,91706-6807,621510,Medical & diagnostic laboratories,0,07/17/2000,,
0002581500-0001-4,VOLHA VAKULA,,1377 S BEVERLY GLEN BLVD #202,LOS ANGELES,90024-5267,1377 BEVERLY GLEN 90024-5267,,,,512100,Motion picture & video industries (except video rental),5,01/26/2007,,"(34.0624, -118.4261)"
0002871474-0001-0,RIVKA-GARDNER LLC,,5141 VELOZ AVENUE,TARZANA,91356-4123,5141 VELOZ 91356-4123,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),3,07/01/2015,,"(34.1656, -118.5402)"
0002872585-0001-3,M & S MANGO LLC,,1701 MIDVALE AVENUE,LOS ANGELES,90024-5512,1701 MIDVALE 90024-5512,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,03/01/2016,,"(34.0506, -118.439)"
0000001271-0001-2,ST ANTHONY MEDICAL CENTER,,837 W IMPERIAL HIGHWAY,LOS ANGELES,90044-4110,837 IMPERIAL 90044-4110,,,,621400,Outpatient  care centers,15,04/01/2000,,
0002870834-0001-1,JB BUILDING SERVICES INC,,11238 PEORIA STREET UNIT #B,SUN VALLEY,91352-1632,11238 PEORIA 91352-1632,,,,233310,Manufacturing and Industrial Building Construction (1997 NAICS),6,10/01/2015,,"(34.2417, -118.3759)"
0003321146-0001-9,FOX POD LLC,,113 N San Vicente #334,Beverly Hills,90211-2329,113 SAN VICENTE 90211,,,,423800,"Machinery, equipment, & supplies",0,06/28/2022,,"(34.0656, 34.0656)"
0000001333-0001-5,YIDDISHKAYT LOS ANGELES,,3780 WILSHIRE BLVD #910,LOS ANGELES,90010-2840,3780 WILSHIRE 90010-2840,,,,611000,"Educational services (including schools, colleges, & universities)",10,07/21/1998,,
0002634334-0001-2,MANUEL BACALAN,,9020   EL DORADO AVENUE,SUN VALLEY,91352-1939,9020 EL DORADO 91352-1939,9020   EL DORADO AVENUE,SUN VALLEY,91352-1939,621400,Outpatient  care centers,6,09/05/2012,,"(34.2327, -118.3896)"
0000353915-0001-9,YAHWEHS HOUSE OF PRAYER FOR ALL PEOPLE /C,THE SWEET SHOP,7829 S HOOVER STREET,LOS ANGELES,90044-6031,7829 HOOVER 90044-6031,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",8,05/11/1981,,"(33.9682, -118.287)"
0000001360-0001-2,SAN FERNANDO VALLEY COMMUNITY MENTAL HEALTH CENTER INC,FAMILY LINKS,11565 LAUREL CANYON BLVD #100 3,SAN FERNANDO,91340-4168,11565 LAUREL CANYON 91340-4168,6931 VAN NUYS BLVD #3 FL,VAN NUYS,91405-3937,621400,Outpatient  care centers,0,07/01/2000,,
0000882049-0001-3,BENTLEY MORRISS ET AL,,8060 MELROSE AVENUE #210,LOS ANGELES,90046-7037,8060 MELROSE 90046-7037,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,01/01/1970,,"(34.0837, -118.365)"
0003323253-0001-1,JUAN FERNANDO GALLO,GALLO LANDSCAPING,12933 OBERLIN STREET,SYLMAR,91342-3428,12933 Oberlin 91342-3428,,,,561730,Landscaping services,7,08/01/2022,,"(34.3088, -118.415)"
0002675379-0001-2,"PPF AMLI 21200 KITTRIDGE STREET, L.P.",AMLI WARNER CENTER,21200 KITTRIDGE STREET,WOODLAND HILLS,91303-2870,21200 KITTRIDGE 91303-2870,141 W JACKSON BLVD SUITE #300,CHICAGO,60604-3123,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",3,12/27/2012,,"(34.1912, -118.5942)"
0000131933-0002-7,KEYLA V BEE,ARTISTRY OF QUEEN BEE,1838 W 43RD STREET,LOS ANGELES,90062-1548,1838 43RD 90062-1548,,,,812990,All other personal services,8,01/01/2015,,"(34.0054, -118.3122)"
0002774873-0001-4,ISAIAH C. WILLIS III,,153 W 59TH STREET,LOS ANGELES,90003-1103,153 59TH 90003-1103,153 W 59TH STREET,LOS ANGELES,90003-1103,,,9,07/01/2014,,"(33.9869, -118.275)"
0002610944-0001-3,BLUE LABEL CONSTRUCTION INC,,1448   15TH STREET   SUITE #102,SANTA MONICA,90404-2756,1448 15TH 90404-2756,,,,233210,Single Family Housing Construction (1997 NAICS),14,04/10/2012,,"(34.0236, -118.4838)"
0000388203-0006-5,THIRTY-FIRST DISTRICT CALIFORNIA CONGRESS OF PARENTS & T,31ST DSITRICT PTSA CREATIVE KIDS GARDEN GROVE,18141 VALERIO STREET,RESEDA,91335-3144,18141 VALERIO 91335-3144,17445 CANTLAY STREET,VAN NUYS,91406-2455,611000,"Educational services (including schools, colleges, & universities)",3,05/20/2015,,"(34.2047, -118.5286)"
0002995108-0001-5,JESSE'S METAL POLISHING INC,,139 S 9TH AVENUE,LA PUENTE,91746-3343,139 9TH 91746,139 S 9TH AVENUE,LA PUENTE,91746-3343,812990,All other personal services,0,03/03/2011,,"(34.0296, -117.9684)"
0003208755-0001-0,CARDS AND COFFEE LLC,,2829   RACETRACK VIEW DRIVE,DEL MAR,92014-2407,2829 RACETRACK VIEW 92014,2829   RACETRACK VIEW DRIVE,DEL MAR,92014-2407,,,0,08/24/2020,,"(32.9614, -117.2528)"
0002862088-0001-0,ARTURO ALBERTO ALARCON RAMIREZ,,853 E 33RD STREET,LOS ANGELES,90011-2415,853 33RD 90011-2415,,,,,,9,01/01/2014,,
0000001428-0001-2,JESSICA STRAUS,,8117 CREIGHTON AVENUE,LOS ANGELES,90045-2709,8117 CREIGHTON 90045-2709,,,,561500,Travel arrangement & reservation services,11,01/01/1999,,
0003312162-0001-9,ANNA M CRAVITZ,AYNA COLLECTIVE,4821 LANKERSHIM BLVD SUITE #F123,NORTH HOLLYWOOD,91601-4538,4821 Lankershim 91601-4538,,,,446120,"Cosmetics, beauty supplies, & perfume stores",2,04/12/2022,,"(34.158, -118.3711)"
0002857723-0001-2,DANIELA CRIOLLO,FOREVERMORE SKINCARE& LASHES,13542 VENTURA BLVD SUITE #2,SHERMAN OAKS,91423-3826,13542 VENTURA 91423-3826,,,,812113,Nail salons,4,09/29/2015,,"(34.1475, -118.4285)"
0002868777-0001-2,BRENDA M STRALKA,S&P CONSTRUCTION SERVICES,4760 DEVONPORT CIRCLE,YORBA LINDA,92887-2609,4760 DEVONPORT 92887-2609,,,,233320,Commercial and Institutional Building Construction (1997 NAICS),0,11/19/2015,,"(33.8922, -117.7545)"
0002870268-0001-1,PETER LAWRENCE,,7428 HOLLYWOOD BLVD #301,LOS ANGELES,90046-2874,7428 HOLLYWOOD 90046-2874,,,,523900,Other financial investment activities (including investment advice),4,11/06/2015,,"(34.1016, -118.3514)"
0000853183-0001-7,MITSUI SUMITOMO MARINE MANAGEMENT INC,,777 S FIGUEROA STREET SUITE #3600,LOS ANGELES,90017-5832,777 FIGUEROA 90017-5832,15 INDEPENDENCE BLVD,WARREN,07059-2721,524290,Other insurance related activities,14,01/01/1990,,"(34.0482, -118.2608)"
0002869696-0001-4,ZEN MOMMA LLC,FLORA X FAUNA,4081 MCLAUGHLIN AVENUE #5,LOS ANGELES,90066-5450,4081 MCLAUGHLIN 90066-5450,,,,446120,"Cosmetics, beauty supplies, & perfume stores",11,09/15/2015,,"(34.0028, -118.4199)"
0002537656-0014-1,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11024 | CALIFORNIA FOOD MANAGEMENT,5609 W SUNSET BLVD,LOS ANGELES,90028-8534,5609 SUNSET 90028-8534,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.098, -118.3117)"
0002869544-0001-9,Q & A PROFESSIONAL SERVICES INC,,6651 HASKELL AVENUE #208,VAN NUYS,91406-6163,6651 HASKELL 91406-6163,,,,541219,Other accounting services,6,02/01/2014,,"(34.1912, -118.4749)"
0002975274-0001-8,ALEJANDRO DELFIN,DELFIN'S HANDYMAN SERVICES,1309 W 97TH STREET,LOS ANGELES,90044-1815,1309 97TH 90044-1815,,,,561720,Janitorial services,0,01/01/2017,,"(33.9478, -118.2983)"
0002941733-0001-1,NOLAN GREY INCORPORATED,LLOYD'S BARBERSHOP,225   26TH STREET,SANTA MONICA,90402-2569,225 26TH 90402-2569,3432 W 182ND STREET,TORRANCE,90504-3931,812111,Barber shops,11,10/01/2016,,"(34.0477, -118.4905)"
0002980605-0001-0,APPARENT STUDIOS INC,,7345   PIUTE CREEK DRIVE,CORONA,92881-4250,7345 PIUTE CREEK 92881-4250,,,,233210,Single Family Housing Construction (1997 NAICS),0,04/12/2017,,"(33.8367, -117.5304)"
0003219161-0001-0,ERIC J. POTTS,THE POTTS ARCHIVE,4121   NORMAL AVENUE,LOS ANGELES,90029-2907,4121 NORMAL 90029,,,,711510,"Independent artists, writers, & performers",13,11/06/2020,,"(34.0868, -118.2851)"
0002894900-0001-1,LAUGHING GIRL PRODUCTIONS INC,,4721   RUBIO AVENUE,ENCINO,91436-1908,4721 RUBIO 91436-1908,11150 W OLYMPIC BLVD SUITE #1000,LOS ANGELES,90064-1827,512100,Motion picture & video industries (except video rental),4,01/01/2015,,"(34.1565, -118.4948)"
0002839623-0001-6,SUNFLOWER MONTESSORI SCHOOL,,15520 SHERMAN WAY,VAN NUYS,91406-4113,15520 SHERMAN 91406-4113,,,,611000,"Educational services (including schools, colleges, & universities)",6,07/07/2015,,"(34.2011, -118.4712)"
0002791259-0001-6,BORIS GOROVATSKY,IFILMHUB STUDIOS / STUDIO DREAMS / STUDIO DREAMS THE SHOW,7650 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605-2813,7650 LANKERSHIM 91605-2813,,,,541920,Photographic services,6,09/01/2014,,"(34.2094, -118.3877)"
0002853335-0001-3,"A.H. SEN & COMPANY, INC.",GIGI'S JEWELRY,1034 SANTEE STREET,LOS ANGELES,90015-1720,1034 SANTEE 90015-1720,,,,423940,"Jewelry, watch, precious stone, & precious metals",14,06/01/2015,,"(34.0383, -118.2556)"
0002870662-0001-6,EARTHSIDE ENTERTAINMENT INC,,13701 RIVERSIDE DRIVE SUITE #500,SHERMAN OAKS,91423-2448,13701 RIVERSIDE 91423-2448,,,,512100,Motion picture & video industries (except video rental),4,09/01/2015,,"(34.1576, -118.4313)"
0000828764-0017-7,STAPLES THE OFFICE SUPERSTORE LLC,STAPLES THE OFFICE SUPERSTORE #230,1701 S FIGUEROA STREET,LOS ANGELES,90015-3419,1701 FIGUEROA 90015-3419,500 STAPLES DRIVE,FRAMINGHAM,01702-4478,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",9,12/08/1993,,"(34.0364, -118.2707)"
0000292954-0001-1,LAURIE A SHEPPARD PANNONE,JEWELRY BY LAURIE ANN,6001 BOEING PLACE,LOS ANGELES,90045-2938,6001 BOEING 90045-2938,,,,561300,Employment services,11,06/20/1996,,"(33.9703, -118.3889)"
0000365953-0001-5,LOUIS WEISS/JOHN NAMSON,,14120 VENTURA BLVD,SHERMAN OAKS,91423-2779,14120 VENTURA 91423-2779,15442 VENTURA BLVD #200,SHERMAN OAKS,91403-3067,531100,Lessors of real estate (including mini warehouses & self-storage units),4,03/01/1996,,"(34.1496, -118.4406)"
0002870641-0001-4,VICTOR VARGAS,,9014 S 7TH AVENUE,INGLEWOOD,90305-2724,9014 7TH 90305,9014 S 7TH AVENUE,INGLEWOOD,90305-2724,,,0,07/01/2015,,"(33.956, -118.3243)"
0002798053-0001-3,CHARCOAL VENICE PARTNERS LLC,CHARCOAL VENICE,425 WASHINGTON BLVD,VENICE,90292-5213,425 WASHINGTON 90292-5213,425 WASHINGTON BLVD,VENICE,90292-5213,722110,Full-service restaurants,11,01/18/2015,,"(33.9815, -118.4627)"
0003263410-0001-0,OREA JEWELRY INC,,706 S HILL STREET SUITE #900,LOS ANGELES,90014-2740,706 HILL 90014-2740,,,,448310,Jewelry stores,14,08/01/2021,,
0002992559-0001-9,VICTORIA ROMERO,ALL ABOUT THE DETAILS,15125   LAKESIDE STREET,SYLMAR,91342-3710,15125 LAKESIDE 91342-3710,,,,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),7,06/20/2017,,"(34.3006, -118.4624)"
0002893086-0001-7,FILIPINO AMERICAN CHAMBER OF COMMERCE OF ORANGE COUNTY,,1748 W KATELLA AVENUE   SUITE #200,ORANGE,92867-3430,1748 KATELLA 92867-3430,,,,812990,All other personal services,0,03/03/2016,,"(33.8056, -117.8715)"
0002022904-0001-7,AUGUSTINA ROSE ESTRADA MUNGARRO,TINA'S CUT FLOWERS,2229 WELLESLEY AVENUE,LOS ANGELES,90064-1123,2229 WELLESLEY 90064-1123,1810   CRESTVIEW AVENUE,SAN BERNARDINO,92404-4921,,,11,01/31/2005,,"(34.0305, -118.4544)"
0002977480-0001-4,ALUSTRETCH LA LLC,,120 W AVENUE 34,LOS ANGELES,90031-1804,120 AVENUE 34 90031-1804,,,,,,1,03/01/2017,,"(34.0839, -118.2145)"
0003311302-0001-6,AMONFOREVER LLC,,6715 5th,Los Angeles,90043-4405,6715 5TH 90043,6715 5th,Los Angeles,90043-4405,812990,All other personal services,8,01/07/2019,,"(33.9777, 33.9777)"
0003312003-0001-3,YAN QUAN LIU,,2255  1/2 EASTLAKE AVENUE,LOS ANGELES,90031-2903,2255 EASTLAKE 90031-2903,,,,812990,All other personal services,0,04/01/2022,,
0003325345-0001-0,CAFE BELEN LLC,CAFE BELEN,11925 Santa Monica,Los Angeles,90025-2706,11925 SANTA MONICA 90025,,,,722110,Full-service restaurants,11,07/26/2022,,"(34.0419, 34.0419)"
0002828857-0001-8,PROSPECT HOME HEALTH CARE LLC,,7120 HAYVENHURST AVENUE SUITE #206,VAN NUYS,91406-3813,7120 HAYVENHURST 91406-3813,,,,621610,Home health care services,6,04/30/2015,,"(34.1997, -118.4923)"
0000266307-0001-8,HI B/JUNG SHIN,,1441 E ANAHEIM STREET,WILMINGTON,90744-4701,1441 ANAHEIM 90744-4701,3612 W ESTATES LANE UNIT #B,ROLLING HILLS ESTATES,90274-4147,531100,Lessors of real estate (including mini warehouses & self-storage units),15,10/03/1988,,"(33.7809, -118.2446)"
0002368363-0001-1,PROPERTY OPERATIONS MANAGEMENT LLC,,22708 MARIANO STREET,WOODLAND HILLS,91367-6128,22708 MARIANO 91367-6128,,,,531310,Real estate property managers,3,01/01/2008,,"(34.1682, -118.6213)"
0002860517-0001-6,GIL CHOTAM AND GREG ANDREWS,NATIONAL TILE AND STONE AUTHORITY,8335 WINNETKA AVENUE SUITE #243,WINNETKA,91306-1630,8335 WINNETKA 91306-1630,8335 WINNETKA AVENUE SUITE #243,WINNETKA,91306-1630,541600,"Management, scientific, & technical consulting services",3,02/01/2015,,"(34.2212, -118.571)"
0002282753-0001-3,ALEXANDER MARK POMEROY,,15102 BEDFORD LANE,NORTH HILLS,91343-3454,15102 BEDFORD 91343-3454,,,,,,7,01/01/2006,,"(34.2383, -118.4611)"
0002873530-0001-0,JAVIER RIOS,INLAND VALLEY ROOFING,2235 KERN STREET,SAN BERNARDINO,92407-6215,2235 KERN 92407-6215,,,,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",0,12/14/2015,,"(34.1542, -117.3456)"
0000001436-0169-2,SP PLUS CORPORATION,#81145,6380 WILSHIRE BLVD,LOS ANGELES,90048-5003,6380 WILSHIRE 90048-5003,3470 WILSHIRE BLVD SUITE #400,LOS ANGELES,90010-2207,812930,Parking lots & garages,5,03/21/2001,,"(34.0636, -118.3678)"
0000426178-0001-7,JACOBSON PAYROLL GROUP INC,,11835 W OLYMPIC BLVD #1100E,LOS ANGELES,90064-5029,11835 OLYMPIC 90064-5029,,,,541214,Payroll services,11,01/01/2003,,"(34.0329, -118.4508)"
0002871169-0001-4,LORI SZYBIST PRODUCTIONS,,5332 BABCOCK AVENUE,VALLEY VILLAGE,91607-2304,5332 BABCOCK 91607-2304,,,,512100,Motion picture & video industries (except video rental),2,02/18/2015,,"(34.166, -118.4063)"
0003321948-0001-3,BRICK & BRIDGE LLC,,1931 Vineyard,Los Angeles,90016-1610,1931 VINEYARD 90016,,,,337000,Furniture & related product mfg.,10,09/28/2016,,"(34.0389, 34.0389)"
0002424083-0001-4,WILLIAM GONZALEZ,ENG DESIGN GROUP LLC,3530 LONDON STREET,LOS ANGELES,90026-3517,3530 LONDON 90026-3517,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",13,01/01/2007,,"(34.0791, -118.2832)"
0002047225-0001-1,ROHM BUILDING & DEVELOPMENT INC,,22345 LA PALMA AVENUE SUITE #105,YORBA LINDA,92887-3808,22345 LA PALMA 92887-3808,22345 LA PALMA AVENUE #105,YORBA LINDA,92887-3808,,,0,12/14/2015,,"(33.8822, -117.7411)"
0002911701-0001-2,BLUEMERCURY INC,,11640   SAN VICENTE BLVD   #108,LOS ANGELES,90049-6517,11640 SAN VICENTE 90049-6517,7 W 7TH STREET   FLOOR #17,CINCINNATI,45202-2468,424990,Other miscellaneous nondurable goods,11,07/17/2015,,"(34.0535, -118.4632)"
0002895109-0001-4,SERGIO HERNANDEZ,,137 W 41ST STREET,LOS ANGELES,90037-2212,137 41ST 90037-2212,,,,561720,Janitorial services,9,01/01/2014,,"(34.0094, -118.275)"
0002868784-0001-2,8361 CEDROS AVENUE LLC,,8361 CEDROS AVENUE,PANORAMA CITY,91402-3652,8361 CEDROS 91402-3652,2595 E WASHINGTON BLVD SUITE #104,PASADENA,91107-1409,531100,Lessors of real estate (including mini warehouses & self-storage units),6,03/28/2014,,"(34.2224, -118.4535)"
0002872828-0001-0,TWANA LEE THOMAS,,831 W 70TH STREET #202,LOS ANGELES,90044-5167,831 70TH 90044-5167,,,,424300,"Apparel, piece goods, & notions",8,12/09/2015,,"(33.9763, -118.2877)"
0002871179-0001-8,GOLDEN GATE IRON INC,,14215 BESSEMER STREET,VAN NUYS,91401-3432,14215 BESSEMER 91401,,,,332000,Fabricated metal product mfg.,6,11/06/2015,,"(34.1808, -118.4424)"
0002868941-0001-1,GREEN SUCCESS LLC,,640 E 84TH STREET,LOS ANGELES,90001-3609,640 84TH 90001-3609,,,,541990,"All other professional, scientific, & technical services",9,01/01/2015,,"(33.9628, -118.2639)"
0002486151-0001-5,MILESTONE CONSTRUCTION INC,,18715 BARROSO STREET,ROWLAND HEIGHTS,91748-4606,18715 BARROSO 91748-4606,,,,,,0,11/20/2015,,"(33.9754, -117.8981)"
0002665906-0001-6,KRISTIN KAMIYA,,400 S MAIN STREET UNIT #704,LOS ANGELES,90013-1325,400 MAIN 90013,,,,711510,"Independent artists, writers, & performers",14,01/01/2013,,"(34.0481, -118.2471)"
0003114689-0001-2,ALBERTO VASQUEZ,MANA PRINTING,756 S NORMANDIE AVENUE,LOS ANGELES,90005-2268,756 NORMANDIE 90005-2268,,,,812990,All other personal services,10,03/20/2019,,"(34.0581, -118.2995)"
0000001540-0001-1,CALIFORNIA CHILDREN'S ACADEMY,,133 N SUNOL DRIVE,LOS ANGELES,90063-1429,133 SUNOL 90063-1429,,,,624410,Child day care services,0,12/01/2000,,
0000001543-0001-5,CALIFORNIA CHILDREN'S ACADEMY,,7817 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605-2523,7817 LANKERSHIM 91605-2523,,,,624410,Child day care services,6,12/01/1991,,
0002794735-0001-3,BH MEDICAL TRAINING LLC,BH MEDICAL TRAINING,13813   CHANDLER BLVD,SHERMAN OAKS,91401-5815,13813 CHANDLER 91401-5815,13813   CHANDLER BLVD,SHERMAN OAKS,91401-5815,611000,"Educational services (including schools, colleges, & universities)",4,05/01/2014,,"(34.1689, -118.4337)"
0000002144-0001-4,LAS PALMAS FOUNDATION,,1535 N FORMOSA AVENUE,LOS ANGELES,90046-3601,1535 FORMOSA 90046-3601,,,,561110,Office administrative services,4,08/19/2001,,
0000001576-0001-0,ODILIA TRUJILLO,,122 N MARIPOSA AVENUE #8,LOS ANGELES,90004-4538,122 MARIPOSA 90004,,,,561500,Travel arrangement & reservation services,13,02/10/2002,,
0000001581-0001-1,DARIUSH DIVSALAR,,1159   LAS PULGAS PLACE,PACIFIC PALISADES,90272-2440,1159 LAS PULGAS 90272-2440,,,,561500,Travel arrangement & reservation services,11,11/15/1999,,
0002944385-0001-8,CLOSE UP FOUNDATION,,1330   BRADDOCK PLACE   SUITE #400,ALEXANDRIA,22314-1650,1330 BRADDOCK 22314-1650,,,,812990,All other personal services,0,11/14/2016,,"(38.8153, -77.0518)"
0002263194-0003-4,RJ'S DEMOLITION AND DISPOSAL CORP,,1135 E FLORENCE AVENUE,INGLEWOOD,90302-1725,1135 FLORENCE 90302-1725,4505   MANHATTAN BEACH BLVD,LAWNDALE,90260-2041,444200,Lawn & garden equipment & supplies stores,0,06/18/2015,,"(33.9744, -118.3359)"
0003186763-0001-5,ROBERTA ZAETTA,,3938  1/2 MARATHON STREET,LOS ANGELES,90029-3602,3938 MARATHON 90029-3602,3938 1/2 Marathon,Los Angeles,90029-3602,,,13,01/01/2019,,"(34.0845, -118.2854)"
0000001598-0001-6,ATLANTIC RECOVERY SERVICES,,2503 W 7TH STREET,LOS ANGELES,90057-3801,2503 7TH 90057-3801,944 PACIFIC AVENUE,LONG BEACH,90813-4228,621400,Outpatient  care centers,1,01/22/2001,,
0000001832-0001-1,TARZANA TREATMENT CENTER INC,,7101 BAIRD AVENUE,RESEDA,91335-4150,7101 BAIRD 91335-4150,18646 OXNARD STREET,TARZANA,91356-1411,621399,Offices of all other miscellaneous health practitioners,3,07/24/1989,,
0002844195-0001-0,CORETECH LEASING INC,,1611 N INTERSTATE 35E SUITE #428,CARROLLTON,75006-8616,1611 INTERSTATE 35E 75006-8616,,,,532400,Commercial & industrial machinery & equipment rental & leasing,0,01/01/2008,,"(32.962, -96.9164)"
0000001632-0001-5,ATLANTIC RECOVERY SERVICES,,1444 W Q STREET,WILMINGTON,90744-1971,1444 Q 90744-1971,944 PACIFIC AVENUE,LONG BEACH,90813-4228,621400,Outpatient  care centers,15,01/22/2001,,
0002614389-0001-1,JASON TANZER ESQ,,16055 VENTURA BLVD SUITE #650,ENCINO,91436-2628,16055 VENTURA 91436-2628,,,,541100,Legal services,5,05/01/2011,,
0002902333-0001-1,MATHEW S RICKELS,,3604   BEWLEY STREET,NORTH RICHLAND HILLS,76117-3318,3604 BEWLEY 76117-3318,,,,711510,"Independent artists, writers, & performers",0,10/13/2015,,"(32.8147, -97.257)"
0003002449-0001-5,AAA HVAC INC,AAA HVAC,8   PANDORA,IRVINE,92604-1946,8 PANDORA 92604-1946,,,,233210,Single Family Housing Construction (1997 NAICS),0,08/17/2017,,"(33.7058, -117.7815)"
0003209018-0001-9,EL SOL FOODS GROUP,,127 E AVENUE 42,LOS ANGELES,90031-1520,127 Avenue 42 90031-1520,,,,,,1,07/20/2017,,"(34.0935, -118.2081)"
